トラフィック ソース,インプレッション数,インプレッションのクリック率 (%),視聴回数,平均視聴時間,総再生時間（単位: 時間）
合計,3589497,4.13,195225,0:05:58,19466.1374
ブラウジング機能,2475074,4.28,130144,0:05:07,11132.4922
関連動画,949930,3.76,47676,0:08:09,6481.1266
YouTube 検索,78884,4.97,4341,0:06:44,488.2253
直接入力または不明,,,3628,0:07:08,431.4286
関連のショート動画,,,3031,0:02:30,127.1202
チャンネル ページ,69488,3.54,2921,0:09:04,441.6867
その他の YouTube 機能,,,2188,0:06:28,236.338
外部,,,675,0:05:19,59.8393
再生リスト,16121,1.38,323,0:05:39,30.4946
終了画面,,,135,0:08:18,18.6864
動画カードとアノテーション,,,122,0:07:40,15.614
通知,,,40,0:04:37,3.0845
ショート フィード,,,1,0:00:03,0.001
