トラフィック ソース,インプレッション数,インプレッションのクリック率 (%),視聴回数,平均視聴時間,総再生時間（単位: 時間）
合計,8134134,4.27,492756,0:06:12,50987.1284
ブラウジング機能,4373371,5.26,326573,0:05:10,28146.9416
関連動画,3641538,3.04,148976,0:08:26,20964.1741
YouTube 検索,65493,7.04,5465,0:06:39,607.1001
直接入力または不明,,,4362,0:03:22,245.3048
その他の YouTube 機能,,,2569,0:08:05,346.1397
チャンネル ページ,47427,3.75,2358,0:09:35,376.9853
終了画面,,,1143,0:10:45,204.8729
外部,,,920,0:02:50,43.4723
再生リスト,6305,2.92,355,0:08:09,48.2333
通知,,,34,0:06:53,3.9025
関連のショート動画,,,1,0:00:06,0.0019
