トラフィック ソース,インプレッション数,インプレッションのクリック率 (%),視聴回数,平均視聴時間,総再生時間（単位: 時間）
合計,10755527,3.13,485734,0:08:02,65156.2836
関連動画,7723710,2.28,243425,0:09:42,39367.7786
ブラウジング機能,2605069,5.24,187270,0:06:15,19557.3435
YouTube 検索,310541,6.61,24315,0:06:53,2790.6481
関連のショート動画,,,7745,0:03:35,463.6635
直接入力または不明,,,6728,0:05:26,610.7511
その他の YouTube 機能,,,6392,0:08:01,855.5044
チャンネル ページ,100814,3.45,4601,0:10:24,798.3532
終了画面,,,3082,0:09:41,497.7462
外部,,,1330,0:03:59,88.306
再生リスト,15393,2.29,645,0:08:15,88.7105
動画カードとアノテーション,,,172,0:12:23,35.5172
通知,,,14,0:07:23,1.7255
ショート フィード,,,14,0:00:18,0.0704
音声のページ,,,1,0:09:55,0.1654
