トラフィック ソース,インプレッション数,インプレッションのクリック率 (%),視聴回数,平均視聴時間,総再生時間（単位: 時間）
合計,5358861,3.95,328024,0:07:31,41174.8393
ブラウジング機能,1917670,6.7,200749,0:05:36,18785.593
関連動画,3304811,2.36,112145,0:10:48,20211.7533
チャンネル ページ,87820,3.03,3647,0:12:14,744.0375
直接入力または不明,,,3049,0:05:36,284.7431
YouTube 検索,39808,5.77,2940,0:07:35,372.1287
その他の YouTube 機能,,,2795,0:09:30,442.6425
外部,,,851,0:03:33,50.4287
終了画面,,,811,0:10:27,141.3873
関連のショート動画,,,599,0:07:20,73.2414
再生リスト,8752,2.41,402,0:09:20,62.5771
動画カードとアノテーション,,,26,0:09:17,4.0281
通知,,,10,0:13:40,2.2787
