トラフィック ソース,インプレッション数,インプレッションのクリック率 (%),視聴回数,平均視聴時間,総再生時間（単位: 時間）
合計,3229355,3.96,203966,0:06:43,22858.7366
ブラウジング機能,1480224,5.53,137793,0:05:15,12086.2953
関連動画,1713753,2.59,57898,0:10:12,9854.8871
直接入力または不明,,,2944,0:04:44,232.5102
YouTube 検索,19863,4.98,1410,0:05:57,139.9143
その他の YouTube 機能,,,1374,0:08:38,197.9266
終了画面,,,1013,0:08:58,151.6602
チャンネル ページ,10919,4.08,612,0:08:17,84.4936
外部,,,578,0:05:34,53.7252
再生リスト,4596,3.68,254,0:11:11,47.3451
通知,,,61,0:06:31,6.6417
動画カードとアノテーション,,,29,0:06:54,3.3373
