トラフィック ソース,インプレッション数,インプレッションのクリック率 (%),視聴回数,平均視聴時間,総再生時間（単位: 時間）
合計,3028366,6.68,279954,0:04:56,23075.2232
ブラウジング機能,1580208,9.09,192419,0:03:58,12748.6621
関連動画,1340983,3.99,75629,0:07:15,9157.8737
チャンネル ページ,65404,4.21,3719,0:08:11,507.6574
YouTube 検索,32783,7.01,2810,0:05:36,262.5608
直接入力または不明,,,2198,0:03:01,110.7418
その他の YouTube 機能,,,1762,0:06:25,188.5329
外部,,,612,0:03:36,36.8311
関連のショート動画,,,489,0:03:35,29.2896
再生リスト,8988,2.05,299,0:06:26,32.0922
動画カードとアノテーション,,,7,0:05:08,0.5991
終了画面,,,6,0:02:46,0.277
通知,,,4,0:01:34,0.1054
